place,time,open,max,min,close,volume,money,weight
SH600000,7/1/2015 10:37,136.6995,136.9451,136.454,136.6995,7276,12148864,8.1856
SH600000,7/1/2015 10:38,136.8632,137.3544,136.7814,136.7814,8082,13531264,8.1856
SH600000,7/1/2015 10:39,136.7814,136.8632,136.454,136.6995,8664,14458496,8.1856
SH600000,7/1/2015 10:40,136.6177,137.3544,136.6177,137.3544,8808,14751488,8.1856
SH600000,7/1/2015 10:41,136.8632,137.2725,136.8632,137.1907,2622,4393472,8.1856
SH600000,7/1/2015 10:42,137.1907,137.3544,137.1907,137.1907,8631,14477824,8.1856
SH600000,7/1/2015 10:43,137.2725,137.3544,137.1907,137.2725,5463,9159296,8.1856
SH600000,7/1/2015 10:44,137.2725,137.2725,136.7814,137.1088,11094,18575616,8.1856
SH600000,7/1/2015 10:45,137.1907,137.1907,136.9451,137.0269,9238,15466112,8.1856
SH600000,7/1/2015 10:46,137.1088,137.1088,136.8632,136.9451,2190,3664000,8.1856
SH600000,7/1/2015 10:47,136.9451,136.9451,136.6177,136.6177,15231,25465344,8.1856
SH600000,7/1/2015 10:48,136.7814,136.8632,136.6995,136.7814,4438,7411584,8.1856
SH600000,7/1/2015 10:49,136.8632,136.8632,136.6995,136.6995,4036,6744064,8.1856
SH600000,7/1/2015 10:50,136.7814,137.0269,136.6995,136.6995,5844,9765632,8.1856
SH600000,7/1/2015 10:51,136.6995,137.0269,136.6995,136.9451,2299,3842560,8.1856
SH600000,7/1/2015 10:52,136.6995,136.9451,136.5358,136.7814,9473,15821184,8.1856
SH600000,7/1/2015 10:53,136.7814,136.7814,136.5358,136.6995,4115,6870400,8.1856
SH600000,7/1/2015 10:54,136.6995,136.9451,136.6177,136.7814,4259,7116032,8.1856
SH600000,7/1/2015 10:55,136.8632,137.1907,136.6995,136.8632,8880,14855936,8.1856
SH600000,7/1/2015 10:56,136.8632,137.1088,136.8632,137.1088,4126,6904320,8.1856
SH600000,7/1/2015 10:57,137.1088,137.1907,136.9451,137.0269,2009,3363712,8.1856
SH600000,7/1/2015 10:58,136.9451,136.9451,136.6177,136.6995,8383,14010368,8.1856
SH600000,7/1/2015 10:59,136.6995,136.6995,136.6177,136.6995,2027,3384448,8.1856
SH600000,7/1/2015 11:00,136.8632,137.5181,136.6995,137.4362,19695,33027712,8.1856
SH600000,7/1/2015 11:01,137.4362,137.5181,136.5358,136.5358,15110,25261440,8.1856
SH600000,7/1/2015 11:02,136.5358,136.8632,136.454,136.7814,6944,11590528,8.1856
SH600000,7/1/2015 11:03,136.6995,137.0269,136.6995,136.9451,6256,10454272,8.1856
SH600000,7/1/2015 11:04,136.8632,137.2725,136.8632,136.9451,3535,5913984,8.1856
SH600000,7/1/2015 11:05,137.2725,137.2725,136.9451,137.1907,2716,4552192,8.1856
SH600000,7/1/2015 11:06,136.9451,137.1907,136.9451,137.1088,1203,2014464,8.1856
SH600000,7/1/2015 11:07,136.9451,137.2725,136.9451,137.1088,3155,5283200,8.1856
SH600000,7/1/2015 11:08,137.3544,137.4362,137.0269,137.0269,11687,19591808,8.1856
SH600000,7/1/2015 11:09,137.0269,137.3544,137.0269,137.2725,1666,2793216,8.1856
SH600000,7/1/2015 11:10,137.2725,137.2725,137.1088,137.2725,1912,3205632,8.1856
SH600000,7/1/2015 11:11,137.3544,137.3544,137.1907,137.1907,7272,12189440,8.1856
SH600000,7/1/2015 11:12,137.1907,137.2725,137.1088,137.2725,3486,5842048,8.1856
SH600000,7/1/2015 11:13,137.3544,137.3544,137.1088,137.1088,4083,6840832,8.1856
SH600000,7/1/2015 11:14,137.2725,137.2725,137.1088,137.1088,4190,7022592,8.1856
SH600000,7/1/2015 11:15,137.1907,137.1907,137.0269,137.0269,2861,4790144,8.1856
SH600000,7/1/2015 11:16,136.9451,137.0269,136.7814,136.7814,5326,8907264,8.1856
SH600000,7/1/2015 11:17,136.8632,136.9451,136.7814,136.7814,4016,6712064,8.1856
SH600000,7/1/2015 11:18,136.7814,136.8632,136.5358,136.6995,7440,12427008,8.1856
SH600000,7/1/2015 11:19,136.5358,136.6995,136.2902,136.3721,12993,21648384,8.1856
SH600000,7/1/2015 11:20,136.454,136.6995,136.3721,136.5358,5956,9928192,8.1856
SH600000,7/1/2015 11:21,136.5358,136.6995,136.454,136.6995,3208,5355136,8.1856
SH600000,7/1/2015 11:22,136.7814,136.8632,136.5358,136.6177,9479,15829120,8.1856
SH600000,7/1/2015 11:23,136.6177,136.6177,136.2902,136.454,17927,29863680,8.1856
SH600000,7/1/2015 11:24,136.454,136.6177,136.2902,136.5358,2206,3678208,8.1856
SH600000,7/1/2015 11:25,136.5358,136.6177,136.454,136.5358,4809,8021248,8.1856
SH600000,7/1/2015 11:26,136.5358,136.5358,136.3721,136.454,9295,15493632,8.1856
SH600000,7/1/2015 11:27,136.454,136.5358,136.2902,136.3721,4778,7962624,8.1856
SH600000,7/1/2015 11:28,136.2902,136.5358,136.2902,136.454,5975,9954304,8.1856
SH600000,7/1/2015 11:29,136.454,136.6177,136.2902,136.454,6858,11432704,8.1856
SH600000,7/1/2015 11:30,136.454,136.5358,136.2902,136.2902,7738,12893440,8.1856
SH600000,7/1/2015 13:01,136.2084,136.3721,135.9628,135.9628,26833,44634368,8.1856
SH600000,7/1/2015 13:02,135.9628,136.3721,135.9628,136.2902,6107,10148608,8.1856
SH600000,7/1/2015 13:03,136.2084,136.5358,136.2084,136.454,16008,26670080,8.1856
SH600000,7/1/2015 13:04,136.5358,137.1088,136.3721,136.454,15643,26101504,8.1856
SH600000,7/1/2015 13:05,136.454,137.1907,136.3721,136.8632,8363,13974016,8.1856
SH600000,7/1/2015 13:06,136.9451,137.0269,136.454,136.454,10436,17429760,8.1856
SH600000,7/1/2015 13:07,136.454,136.5358,136.3721,136.5358,4176,6959360,8.1856
SH600000,7/1/2015 13:08,136.3721,136.5358,136.2902,136.3721,3771,6284544,8.1856
SH600000,7/1/2015 13:09,136.3721,136.3721,136.1265,136.1265,6366,10594560,8.1856
SH600000,7/1/2015 13:10,136.1265,136.1265,135.9628,136.0447,7298,12126720,8.1856
SH600000,7/1/2015 13:11,135.9628,136.0447,135.7991,135.7991,21877,36324608,8.1856
SH600000,7/1/2015 13:12,135.7991,136.0447,135.7172,135.9628,9589,15910656,8.1856
SH600000,7/1/2015 13:13,135.881,135.881,135.7172,135.881,2971,4929536,8.1856
SH600000,7/1/2015 13:14,135.7991,137.2725,135.4717,136.6177,20270,33700864,8.1856
SH600000,7/1/2015 13:15,136.6177,136.6177,136.1265,136.454,3132,5220864,8.1856
SH600000,7/1/2015 13:16,136.454,136.5358,135.881,136.0447,5769,9598720,8.1856
SH600000,7/1/2015 13:17,136.2902,136.2902,135.9628,135.9628,4949,8228352,8.1856
SH600000,7/1/2015 13:18,136.2084,136.454,135.9628,136.2902,3239,5394688,8.1856
SH600000,7/1/2015 13:19,136.6177,137.4362,136.454,137.3544,14526,24341248,8.1856
SH600000,7/1/2015 13:20,137.0269,137.1907,136.8632,136.8632,6881,11523840,8.1856
SH600000,7/1/2015 13:21,136.9451,137.1088,136.8632,137.0269,4828,8080896,8.1856
SH600000,7/1/2015 13:22,137.0269,137.0269,136.2084,136.2902,12569,20982528,8.1856
SH600000,7/1/2015 13:23,136.3721,136.9451,136.3721,136.9451,2424,4046848,8.1856
SH600000,7/1/2015 13:24,136.7814,137.1907,136.6995,137.1088,4042,6765056,8.1856
SH600000,7/1/2015 13:25,137.1088,137.2725,136.9451,137.1907,8737,14632192,8.1856
SH600000,7/1/2015 13:26,137.1907,137.2725,137.0269,137.1088,4420,7407104,8.1856
SH600000,7/1/2015 13:27,137.1088,137.3544,137.1088,137.3544,6997,11730432,8.1856
SH600000,7/1/2015 13:28,137.2725,138.0092,137.2725,138.0092,17665,29704960,8.1856
SH600000,7/1/2015 13:29,137.9274,138.5004,137.9274,138.5004,24089,40685312,8.1856
SH600000,7/1/2015 13:30,138.4185,138.5822,137.9274,137.9274,18345,30999808,8.1856
SH600000,7/1/2015 13:31,138.0092,138.3366,137.8455,138.3366,20129,33981696,8.1856
SH600000,7/1/2015 13:32,138.3366,138.3366,137.7636,137.8455,16863,28456960,8.1856
SH600000,7/1/2015 13:33,137.9274,138.5004,137.8455,138.3366,12396,20923904,8.1856
SH600000,7/1/2015 13:34,138.5004,138.5004,138.1729,138.1729,9797,16556544,8.1856
SH600000,7/1/2015 13:35,137.9274,138.1729,137.8455,138.1729,7063,11902976,8.1856
SH600000,7/1/2015 13:36,138.0092,138.0911,137.7636,137.7636,3825,6443520,8.1856
SH600000,7/1/2015 13:37,137.7636,137.7636,137.3544,137.3544,7918,13303808,8.1856
SH600000,7/1/2015 13:38,137.2725,137.9274,137.2725,137.9274,6427,10793728,8.1856
SH600000,7/1/2015 13:39,137.5181,137.8455,137.5181,137.6818,3067,5159936,8.1856
SH600000,7/1/2015 13:40,137.8455,137.9274,137.5999,137.8455,2363,3978752,8.1856
SH600000,7/1/2015 13:41,137.9274,137.9274,137.2725,137.2725,6658,11195136,8.1856
SH600000,7/1/2015 13:42,137.2725,137.2725,137.0269,137.0269,8349,13983744,8.1856
SH600000,7/1/2015 13:43,137.1088,137.4362,137.0269,137.2725,7222,12103680,8.1856
SH600000,7/1/2015 13:44,137.3544,137.3544,137.0269,137.1088,4368,7316736,8.1856
SH600000,7/1/2015 13:45,137.1088,137.1088,136.8632,136.8632,3624,6063616,8.1856
SH600000,7/1/2015 13:46,136.8632,136.9451,136.7814,136.7814,5277,8824320,8.1856
SH600000,7/1/2015 13:47,136.8632,138.0092,136.8632,137.4362,6839,11482880,8.1856
SH600000,7/1/2015 13:48,137.1907,137.5181,137.1907,137.5181,1608,2699264,8.1856
SH600000,7/1/2015 13:49,137.1907,137.5181,137.1907,137.3544,1815,3044096,8.1856
SH600000,7/1/2015 13:50,137.4362,137.4362,137.1907,137.2725,3227,5415424,8.1856
SH600000,7/1/2015 13:51,137.1907,137.5181,137.1907,137.4362,4963,8331008,8.1856
